,Country Name,Date,"Government Response Stringency Index ((0 to 100, 100 = strictest))"
91,Afghanistan,"Apr 1, 2020",61.25
92,Afghanistan,"Apr 2, 2020",61.25
100,Afghanistan,"Apr 10, 2020",72.36
101,Afghanistan,"Apr 11, 2020",72.36
102,Afghanistan,"Apr 12, 2020",76.33
103,Afghanistan,"Apr 13, 2020",76.33
104,Afghanistan,"Apr 14, 2020",76.33
105,Afghanistan,"Apr 15, 2020",76.33
106,Afghanistan,"Apr 16, 2020",76.33
107,Afghanistan,"Apr 17, 2020",76.33
108,Afghanistan,"Apr 18, 2020",76.33
109,Afghanistan,"Apr 19, 2020",76.33
110,Afghanistan,"Apr 20, 2020",76.33
111,Afghanistan,"Apr 21, 2020",76.33
112,Afghanistan,"Apr 22, 2020",76.33
113,Afghanistan,"Apr 23, 2020",76.33
114,Afghanistan,"Apr 24, 2020",76.33
115,Afghanistan,"Apr 25, 2020",76.33
116,Afghanistan,"Apr 26, 2020",76.33
117,Afghanistan,"Apr 27, 2020",76.33
118,Afghanistan,"Apr 28, 2020",76.33
119,Afghanistan,"Apr 29, 2020",76.33
213,Albania,"Apr 1, 2020",84.39
214,Albania,"Apr 2, 2020",84.39
222,Albania,"Apr 10, 2020",84.39
223,Albania,"Apr 11, 2020",84.39
224,Albania,"Apr 12, 2020",84.39
225,Albania,"Apr 13, 2020",84.39
226,Albania,"Apr 14, 2020",84.39
227,Albania,"Apr 15, 2020",84.39
228,Albania,"Apr 16, 2020",84.39
229,Albania,"Apr 17, 2020",84.39
230,Albania,"Apr 18, 2020",88.36
231,Albania,"Apr 19, 2020",88.36
232,Albania,"Apr 20, 2020",88.36
233,Albania,"Apr 21, 2020",88.36
234,Albania,"Apr 22, 2020",88.36
235,Albania,"Apr 23, 2020",88.36
236,Albania,"Apr 24, 2020",88.36
237,Albania,"Apr 25, 2020",88.36
238,Albania,"Apr 26, 2020",88.36
239,Albania,"Apr 27, 2020",88.36
240,Albania,"Apr 28, 2020",88.36
241,Albania,"Apr 29, 2020",88.36
344,Algeria,"Apr 1, 2020",80.57
345,Algeria,"Apr 2, 2020",80.57
353,Algeria,"Apr 10, 2020",80.57
354,Algeria,"Apr 11, 2020",80.57
355,Algeria,"Apr 12, 2020",80.57
356,Algeria,"Apr 13, 2020",80.57
357,Algeria,"Apr 14, 2020",84.54
358,Algeria,"Apr 15, 2020",84.54
359,Algeria,"Apr 16, 2020",84.54
360,Algeria,"Apr 17, 2020",84.54
361,Algeria,"Apr 18, 2020",84.54
362,Algeria,"Apr 19, 2020",84.54
363,Algeria,"Apr 20, 2020",84.54
364,Algeria,"Apr 21, 2020",84.54
365,Algeria,"Apr 22, 2020",84.54
366,Algeria,"Apr 23, 2020",84.54
367,Algeria,"Apr 24, 2020",82.42
368,Algeria,"Apr 25, 2020",82.42
369,Algeria,"Apr 26, 2020",82.42
370,Algeria,"Apr 27, 2020",82.42
371,Algeria,"Apr 28, 2020",82.42
372,Algeria,"Apr 29, 2020",82.42
473,Andorra,"Apr 1, 2020",53.43
474,Andorra,"Apr 2, 2020",53.43
482,Andorra,"Apr 10, 2020",61.77
483,Andorra,"Apr 11, 2020",61.77
484,Andorra,"Apr 12, 2020",61.77
485,Andorra,"Apr 13, 2020",61.77
486,Andorra,"Apr 14, 2020",61.77
487,Andorra,"Apr 15, 2020",61.77
488,Andorra,"Apr 16, 2020",61.77
489,Andorra,"Apr 17, 2020",61.77
490,Andorra,"Apr 18, 2020",61.77
491,Andorra,"Apr 19, 2020",61.77
492,Andorra,"Apr 20, 2020",59.12
493,Andorra,"Apr 21, 2020",59.12
494,Andorra,"Apr 22, 2020",59.12
495,Andorra,"Apr 23, 2020",59.12
496,Andorra,"Apr 24, 2020",59.12
497,Andorra,"Apr 25, 2020",59.12
498,Andorra,"Apr 26, 2020",59.12
499,Andorra,"Apr 27, 2020",59.12
500,Andorra,"Apr 28, 2020",59.12
501,Andorra,"Apr 29, 2020",59.12
602,Angola,"Apr 1, 2020",93.38
603,Angola,"Apr 2, 2020",93.38
611,Angola,"Apr 10, 2020",93.38
612,Angola,"Apr 11, 2020",93.38
613,Angola,"Apr 12, 2020",93.38
614,Angola,"Apr 13, 2020",93.38
615,Angola,"Apr 14, 2020",93.38
616,Angola,"Apr 15, 2020",93.38
617,Angola,"Apr 16, 2020",93.38
618,Angola,"Apr 17, 2020",93.38
619,Angola,"Apr 18, 2020",93.38
620,Angola,"Apr 19, 2020",93.38
621,Angola,"Apr 20, 2020",93.38
622,Angola,"Apr 21, 2020",93.38
623,Angola,"Apr 22, 2020",93.38
